City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,atafu village,-8.5421,-172.5159,84.09,75,27,10.78,TK,1699660526
83,ushuaia,-54.8,-68.3,46.06,71,100,12.66,AR,1699659994
84,tiksi,71.6872,128.8694,8.06,87,100,20.36,RU,1699660533
85,krasnokamensk,50.0979,118.0369,4.32,88,94,3.49,RU,1699660536
86,moberly,39.4184,-92.4382,47.43,52,0,0.0,US,1699660540
87,batticaloa,7.7102,81.6924,78.64,84,20,1.72,LK,1699660543
88,hacienda huancane,-15.8222,-70.8856,40.6,79,91,6.78,PE,1699660546
89,enewetak,11.3474,162.3373,83.57,75,100,18.61,MH,1699660549
90,ta`u,-14.2336,-169.5144,81.77,81,23,6.64,AS,1699660551
91,gumdag,39.2061,54.5906,55.8,62,100,0.43,TM,1699660555
92,uray,60.1247,64.7758,32.88,92,100,5.99,RU,1699660559
93,chibougamau,49.9168,-74.3659,22.62,93,100,8.05,CA,1699659814
94,zaozersk,69.4005,32.4476,15.6,96,50,6.58,RU,1699660519
95,onguday,50.75,86.15,28.74,95,100,1.81,RU,1699660570
96,hermanus,-34.4187,19.2345,63.72,77,89,5.57,ZA,1699660573
97,san martin,-33.081,-68.4681,77.54,60,9,24.61,AR,1699660577
98,hasaki,35.7333,140.8333,54.0,62,100,24.14,JP,1699660125
99,kashmar,35.2383,58.4656,56.32,41,85,3.49,IR,1699660583
100,achacachi,-16.05,-68.6833,48.24,78,82,3.0,BO,1699660585
101,lompoc,34.6391,-120.4579,76.01,59,0,9.22,US,1699660389
102,ribeira grande,38.5167,-28.7,67.77,95,94,11.01,PT,1699660000
103,nova sintra,14.8667,-24.7167,72.61,68,74,5.93,CV,1699660594
104,taoudenni,22.6783,-3.9836,76.19,16,0,7.7,ML,1699660597
105,nova vicosa,-17.8919,-39.3719,77.23,82,3,13.24,BR,1699660600
106,tazacorte,28.629,-17.9293,68.97,78,20,10.36,ES,1699660602
107,awjilah,29.1081,21.2869,68.61,51,0,5.88,LY,1699660603
108,ahar,38.4774,47.0699,43.45,84,31,3.02,IR,1699660604
109,wang sai phun,16.3885,100.538,76.59,89,100,2.66,TH,1699660605
110,lebu,-37.6167,-73.65,52.11,82,82,20.09,CL,1699660606
